onset	duration	trial_type	accuracy	response_time	premise1	premise2	premise3	conclusion	stim_file
0.0	13.652	2_true_negate	0.0	4.4030000000000005	Fay is taller than Lou	Lou is taller than Ann	Ann is taller than Red	Red is not taller than Fay	Fay_3_true_negate.wav
13.652	4.677	control	1.0	0.981	n/a	n/a	n/a	n/a	n/a
18.329	11.349	2_true_affirm	1.0	1.636	Flo is faster than Ken	Ken is faster than Van	Van is faster than Pam	Flo is faster than Van	Flo_2_true_affirm.wav
29.678	12.675999999999998	2_false_negate	1.0	3.024	Dot is older than Emm	Emm is older than Lug	Lug is older than Gil	Dot is not older than Gil 	Dot_3_false_negate.wav
42.354	3.281	control	1.0	0.391	n/a	n/a	n/a	n/a	n/a
45.635	12.890999999999998	2_false_negate	1.0	3.989	Gil is older than Cam	Cam is older than Jen	Jen is older than Ebb	Gil is not older than Jen	Gil_2_false_negate.wav
58.526	11.671	2_false_affirm	1.0	2.757	Joy is taller than Ken	Ken is taller than Wes	Wes is taller than Lee	Wes is taller than Joy	Joy_2_false_affirm.wav
70.197	12.185	2_true_affirm	1.0	3.273	Lin is shorter than May	May is shorter than Roy	Roy is shorter than Jef	Lin is shorter than Roy	Lin_2_true_affirm.wav
82.382	13.252	2_true_affirm	1.0	3.525	Mal is younger than Sol	Sol is younger than Red	Red is younger than Lee	Mal is younger than Red	Mal_2_true_affirm.wav
95.634	11.789	2_true_affirm	1.0	2.471	Jen is faster than Lou	Lou is faster than Rob	Rob is faster than Fin	Jen is faster than Rob	Jen_2_true_affirm.wav
107.423	11.445	2_true_affirm	1.0	2.122	Kai is bigger than Rey	Rey is bigger than Lon	Lon is bigger than Sal	Kai is bigger than Sal 	Kai_3_true_affirm.wav
118.868	12.055	2_false_negate	1.0	2.35	Mac is older than Flo	Flo is older than Ray	Edd is older than Mac	Mac is not older than Ray	Mac_2_false_negate.wav
130.923	11.931	2_true_affirm	1.0	2.296	Ken is younger than Gil	Gil is younger than Bab	Bab is younger than Ell	Ken is younger than Ell 	Ken_3_true_affirm.wav
142.85399999999996	4.011	control	1.0	0.747	n/a	n/a	n/a	n/a	n/a
146.865	14.126	2_false_affirm	1.0	4.49	Ike is shorter than Bob	Bob is shorter than Jon	Jon is shorter than Lex	Lex is shorter than Ike	Ike_3_false_affirm.wav
160.991	3.661	control	1.0	0.451	n/a	n/a	n/a	n/a	n/a
164.65200000000004	3.293	control	1.0	0.478	n/a	n/a	n/a	n/a	n/a
167.945	4.079	control	1.0	0.447	n/a	n/a	n/a	n/a	n/a
172.024	4.324	control	1.0	0.621	n/a	n/a	n/a	n/a	n/a
176.34799999999996	12.279000000000002	2_true_affirm	1.0	2.954	Cam is smaller than Ike	Ike is smaller than Bob	Bob is smaller than Doc	Cam is smaller than Doc	Cam_3_true_affirm.wav
188.627	13.091	2_false_affirm	1.0	4.166	Moe is younger than Liz	Liz is younger than Gus	Gus is younger than Ben	Ben is younger than Moe	Moe_3_false_affirm.wav
201.718	11.412	2_true_negate	0.0	2.152	Jep is shorter than Lon	Lon is shorter than Nat	Nat is shorter than Ace 	Ace is not shorter than Jep	Jep_3_true_negate.wav
213.13	3.454	control	1.0	0.555	n/a	n/a	n/a	n/a	n/a
216.584	14.717	2_true_negate	0.0	5.46	Fil is faster than Luk	Luk is faster than Dan	Dan is faster than Ace	Dan is not faster than Fil	Fil_2_true_negate.wav
231.301	3.822	control	1.0	0.531	n/a	n/a	n/a	n/a	n/a
235.123	11.47	2_true_affirm	1.0	2.5580000000000003	Dre is taller than Kay	Kay is taller than Lug	Lug is taller than Joi	Dre is taller than Joi	Dre_3_true_affirm.wav
246.593	11.329	2_true_affirm	1.0	2.494	Don is slower than Jan	Jan is slower than Val	Val is slower than Mac	Don is slower than Val	Don_2_true_affirm2.wav
